Title,Price,Category_path,Rating,Qty_califications
Escritorio 80,49.99,Inicio>Muebles Lufe>Mesas de madera>Mesas de estudio>Escritorio 80,4.4,14
Estantería Asimétrica - 3 baldas,39.99,Inicio>Muebles Lufe>Estanterías  de madera>Estanterías Asimétricas>Estantería Asimétrica - 3 baldas,4.6,168
Litera Montessori 80 con colchones,299.99,Inicio>Muebles Lufe>Literas>Litera Montessori 80 con colchones,4.8,4
Litera 80 con colchones,299.99,Inicio>Muebles Lufe>Literas>Litera 80 con colchones,4.7,37
Cama apilable con colchón + barrera de protección,159.98,Inicio>Muebles Lufe>Camas>Camas apilables>Cama apilable con colchón + barrera de protección,4.5,30
Cama sofá infantil con colchón,119.99,Inicio>Muebles Lufe>Camas>Camas sofá>Cama sofá infantil con colchón,4.5,2
Cama 105 a ras del suelo con colchón,194.98,Inicio>Muebles Lufe>Serie 105>Cama 105 a ras del suelo con colchón,4.3,29
Cama 105 a ras del suelo,84.99,Inicio>Muebles Lufe>Serie 105>Cama 105 a ras del suelo,4.6,19
Cama apilable infantil,49.99,Inicio>Muebles Lufe>Camas>Camas apilables>Cama apilable infantil,4.6,57
Escritorio 120,59.99,Inicio>Muebles Lufe>Mesas de madera>Mesas de estudio>Escritorio 120,4.6,10
Taburete,19.99,Inicio>Muebles Lufe>Sofás,4.8,5
Litera 80,124.99,Inicio>Muebles Lufe>Literas>Litera 80,4.5,19
Cama apilable,69.99,Inicio>Muebles Lufe>Camas>Camas apilables>Cama apilable,4.4,207
Cama apilable infantil completa,74.99,Inicio>Muebles Lufe>Camas>Camas apilables>Cama apilable infantil completa,4.7,48
Cama apilable completa,144.99,Inicio>Muebles Lufe>Camas>Camas apilables>Cama apilable completa,4.5,135
Mesa de estudio,44.99,Inicio>Muebles Lufe>Mesas de madera>Mesas de estudio>Mesa de estudio,4.6,204
Estantería Montessori 1 balda,14.99,Inicio>Muebles Lufe>Ambientes>Dormitorios>Habitaciones infantiles>Estantería Montessori 1 balda,4.7,109
Estantería Básica 80 - 3 baldas,29.99,Inicio>Muebles Lufe>Estanterías  de madera>Estanterías Básicas>Estantería Básica 80 - 3 baldas,4.6,60
Mesa de estudio con silla,69.99,Inicio>Muebles Lufe>Mesas de madera>Mesas de estudio>Mesa de estudio con silla,4.5,45
Litera Montessori 90 con colchones,299.99,Inicio>Muebles Lufe>Literas>Litera Montessori 90 con colchones,4.4,50
Baúl 70 cm + estantería Montessori 1 balda,64.98,Inicio>Muebles Lufe>Ambientes>Dormitorios>Habitaciones infantiles>Baúl 70 cm + estantería Montessori 1 balda,4.4,17
Baúl de almacenaje,49.99,Inicio>Muebles Lufe>Muebles de almacenaje>Baúles y pies de cama>Baúl de almacenaje,4.5,206
Cómoda,99.99,Inicio>¡Novedades!>Cómoda,4.2,102
Estantería Montessori 3 baldas,39.99,Inicio>Muebles Lufe>Ambientes>Dormitorios>Habitaciones infantiles>Estantería Montessori 3 baldas,4.7,226
Silla de madera,24.99,Inicio>Muebles Lufe>Sofás,4.4,4
Litera Montessori 80,124.99,Inicio>Muebles Lufe>Literas>Litera Montessori 80,4.4,5
Conjunto 120,89.99,Inicio>Muebles Lufe>Mesas de madera>Mesas de estudio>Conjunto 120,3,1
